ANO4,TRIMESTRE,AGLOMERADO,pop10p_w,lf_w,emp_w,des_w,tasa_actividad_%,tasa_empleo_%,tasa_desocupacion_%
2016,2,13,1306424,722254,639534,82720,55.28,48.95,11.45
2016,2,32,2620984,1638197,1498345,139852,62.5,57.17,8.54
2016,3,13,1306544,721236,650634,70602,55.2,49.8,9.79
2016,3,32,2635356,1627699,1498400,129299,61.76,56.86,7.94
2016,4,13,1300900,681880,627034,54846,52.42,48.2,8.04
2016,4,32,2577813,1597450,1506556,90894,61.97,58.44,5.69
2017,1,13,1311741,693746,627067,66679,52.89,47.8,9.61
2017,1,32,2619468,1634347,1505717,128630,62.39,57.48,7.87
2017,2,13,1308211,698509,641877,56632,53.39,49.07,8.11
2017,2,32,2643244,1614606,1501606,113000,61.08,56.81,7.0
2017,3,13,1318079,712140,647110,65030,54.03,49.09,9.13
2017,3,32,2587464,1580456,1465634,114822,61.08,56.64,7.27
2017,4,13,1326535,693768,648112,45656,52.3,48.86,6.58
2017,4,32,2603788,1578459,1485352,93107,60.62,57.05,5.9
2018,1,13,1329222,744535,667999,76536,56.01,50.25,10.28
2018,1,32,2605990,1598516,1460992,137524,61.34,56.06,8.6
2018,2,13,1328178,744876,664594,80282,56.08,50.04,10.78
2018,2,32,2617960,1595906,1471510,124396,60.96,56.21,7.79
2018,3,13,1323209,769117,699156,69961,58.13,52.84,9.1
2018,3,32,2627341,1582888,1449209,133679,60.25,55.16,8.45
2018,4,13,1332998,744150,675800,68350,55.83,50.7,9.18
2018,4,32,2613918,1584356,1474662,109694,60.61,56.42,6.92
2019,1,13,1343297,744545,660065,84480,55.43,49.14,11.35
2019,1,32,2681954,1665045,1545192,119853,62.08,57.61,7.2
2019,2,13,1343282,756219,657195,99024,56.3,48.92,13.09
2019,2,32,2700487,1719459,1561358,158101,63.67,57.82,9.19
2019,3,13,1343233,776502,690824,85678,57.81,51.43,11.03
2019,3,32,2678681,1705640,1571494,134146,63.67,58.67,7.86
2019,4,13,1346976,729285,659730,69555,54.14,48.98,9.54
2019,4,32,2675163,1674699,1558808,115891,62.6,58.27,6.92
2020,1,13,1348579,731109,651941,79168,54.21,48.34,10.83
2020,1,32,2690348,1706777,1561184,145593,63.44,58.03,8.53
2020,2,13,1331753,678781,548914,129867,50.97,41.22,19.13
2020,2,32,2584612,1400928,1245830,155098,54.2,48.2,11.07
2020,3,13,1336662,777536,666375,111161,58.17,49.85,14.3
2020,3,32,2592580,1437048,1286953,150095,55.43,49.64,10.44
2020,4,13,1375354,750411,652829,97582,54.56,47.47,13.0
2020,4,32,2665301,1541106,1430296,110810,57.82,53.66,7.19
2021,1,13,1360837,777000,661665,115335,57.1,48.62,14.84
2021,1,32,2654707,1516335,1397272,119063,57.12,52.63,7.85
2021,2,13,1355467,767154,671936,95218,56.6,49.57,12.41
2021,2,32,2631271,1559146,1418720,140426,59.25,53.92,9.01
2021,3,13,1364264,790547,700814,89733,57.95,51.37,11.35
2021,3,32,2668176,1603417,1491822,111595,60.09,55.91,6.96
2021,4,13,1359710,790827,710846,79981,58.16,52.28,10.11
2021,4,32,2650993,1590817,1517961,72856,60.01,57.26,4.58
2022,1,13,1360767,751425,678538,72887,55.22,49.86,9.7
2022,1,32,2656143,1573428,1496696,76732,59.24,56.35,4.88
2022,2,13,1366122,779932,711737,68195,57.09,52.1,8.74
2022,2,32,2652402,1611468,1523799,87669,60.76,57.45,5.44
2022,3,13,1367078,781472,725335,56137,57.16,53.06,7.18
2022,3,32,2648212,1607122,1532180,74942,60.69,57.86,4.66
2022,4,13,1376394,787070,736602,50468,57.18,53.52,6.41
2022,4,32,2626318,1641817,1577112,64705,62.51,60.05,3.94
2023,1,13,1366768,784288,717491,66797,57.38,52.5,8.52
2023,1,32,2632378,1636911,1549169,87742,62.18,58.85,5.36
2023,2,13,1370012,793622,727525,66097,57.93,53.1,8.33
2023,2,32,2634163,1603661,1540607,63054,60.88,58.49,3.93
2023,3,13,1376006,799294,747122,52172,58.09,54.3,6.53
2023,3,32,2623611,1647528,1587518,60010,62.8,60.51,3.64
2023,4,13,1372922,807208,762740,44468,58.79,55.56,5.51
2023,4,32,2637918,1642560,1590329,52231,62.27,60.29,3.18
2024,1,13,1377410,800391,739501,60890,58.11,53.69,7.61
2024,1,32,2671674,1615954,1529661,86293,60.48,57.25,5.34
2024,2,13,1386156,805658,739570,66088,58.12,53.35,8.2
2024,2,32,2661142,1617257,1529483,87774,60.77,57.47,5.43
2024,3,13,1382157,803371,733076,70295,58.12,53.04,8.75
2024,3,32,2674175,1649587,1576418,73169,61.69,58.95,4.44
2024,4,13,1377964,813052,748330,64722,59.0,54.31,7.96
2024,4,32,2651319,1652685,1591568,61117,62.33,60.03,3.7
2025,1,13,1395942,803062,729061,74001,57.53,52.23,9.21
2025,1,32,2666311,1609485,1496716,112769,60.36,56.13,7.01
2025,2,13,1404848,820402,747322,73080,58.4,53.2,8.91
2025,2,32,2687249,1640166,1570234,69932,61.04,58.43,4.26
